LotArea,OverallQual,Fireplaces,OpenPorchSF,LotShape,CentralAir,GarageCars,GrLivArea,Electrical,LotFrontage,Neighborhood,MasVnrArea,OverallCond,BldgType,HouseStyle,HalfBath,FullBath,LandSlope,1stFlrSF,2ndFlrSF,ExterQual,KitchenQual,BsmtQual,BsmtFullBath,BedroomAbvGr,Foundation,YearBuilt,BsmtFinType1,HeatingQC,GarageQual,LotConfig,BsmtFinSF1,LandContour,SaleCondition,Functional,Condition1,SaleType,MSZoning,MSSubClass,SalePrice
9100,5,0,0,1,1,0,935,0,50.0,0,0.0,6,1,0,0,0,0,6.658011045870748,0.0,0,0,0,0,1,0,7.5652752818989315,0,0,1,0,0.0,0,1,1,0,0,0,0,79500
12925,6,2,42,0,1,0,2117,1,0.0,0,0.0,7,1,0,1,1,0,7.6577552711348655,0.0,0,0,0,0,1,0,7.585788821732034,0,1,1,0,6.763884908562435,0,1,1,0,0,1,1,237500
12800,7,1,0,1,1,0,1644,1,0.0,0,145.0,5,1,0,0,1,1,7.404887575616125,0.0,1,1,0,1,1,1,7.5953872788539725,1,0,1,0,7.325807502595773,0,1,1,0,0,1,0,275000
7685,6,1,63,0,1,0,1501,1,0.0,0,112.0,5,1,1,1,1,0,6.546785410760524,6.690842277418564,0,1,0,0,1,1,7.597396320212795,0,0,1,0,6.251903883165888,0,1,1,0,0,1,1,165600
9180,5,0,0,0,1,0,884,1,0.0,0,0.0,7,1,0,0,0,0,6.784457062637643,0.0,0,1,0,1,1,0,7.592366128519796,0,0,1,1,6.617402977974478,0,1,1,0,0,1,0,144000
9000,6,0,0,1,0,0,784,0,60.0,0,0.0,3,1,0,0,0,0,6.664409020350408,0.0,0,0,0,0,1,0,7.564238475170491,0,0,0,0,0.0,0,1,1,0,0,0,0,76000
11923,9,0,136,0,1,0,1800,1,122.0,0,0.0,5,1,0,0,1,0,7.495541943884256,0.0,1,1,1,0,1,1,7.604396348796338,0,1,1,0,0.0,0,1,1,0,0,1,1,239000
14850,5,1,0,0,1,0,1092,0,69.0,0,0.0,5,1,0,0,0,0,6.9957661563048505,0.0,0,0,0,1,1,0,7.579167967396076,0,0,1,0,6.79794041297493,0,1,1,0,0,1,1,141000
7577,6,1,28,0,1,0,1362,1,61.0,1,256.0,5,0,0,0,1,0,7.216709486709457,0.0,1,1,0,0,1,1,7.60339933974067,0,1,1,0,3.044522437723423,0,1,1,0,0,1,1,194700
12220,10,1,54,1,1,1,2020,1,94.0,1,305.0,5,1,0,1,1,0,7.61085279039525,0.0,1,1,1,1,1,0,7.605392364814935,1,1,1,0,7.270312886079025,0,1,1,0,1,1,1,402861
7064,5,0,0,1,1,0,980,1,71.0,0,153.0,6,1,0,0,0,0,6.887552571664617,0.0,0,0,0,0,1,0,7.589335823170617,0,0,1,0,6.329720905522696,0,1,1,0,0,1,1,135000
9600,8,1,120,1,1,0,2524,1,80.0,0,0.0,5,1,0,1,1,0,7.8336002236611035,0.0,1,1,0,1,1,1,7.591357046698551,0,0,1,0,7.007600613951853,0,1,1,1,0,1,1,278000
11302,8,1,75,0,1,1,1826,1,69.0,1,238.0,5,1,0,0,1,0,7.509883061154913,0.0,1,1,0,1,1,1,7.60339933974067,1,1,1,0,7.260522598089852,0,1,1,0,1,1,1,319000
11000,5,1,58,0,1,0,1154,1,0.0,0,200.0,6,1,0,1,0,0,7.050989447068045,0.0,0,0,0,0,1,0,7.583756300707112,0,1,1,1,6.608000625296087,0,1,1,0,0,1,1,154000
11241,6,1,0,0,1,0,1004,1,0.0,0,180.0,7,1,0,0,0,0,6.911747300251674,0.0,0,0,0,1,1,0,7.585788821732034,0,1,1,1,6.361302477572996,0,1,1,0,0,1,1,149000
11345,5,0,0,1,1,0,1920,0,95.0,0,567.0,5,0,1,0,1,0,6.833031732786201,6.900730664045173,0,0,0,0,1,0,7.5745584842024805,0,0,1,0,5.3981627015177525,0,1,1,0,0,1,0,137000
10440,5,0,0,1,1,0,1230,1,60.0,0,0.0,6,1,1,1,0,0,6.525029657843462,6.3080984415095305,0,0,0,0,1,1,7.554858521040676,0,0,1,0,0.0,0,1,1,0,0,0,0,110000
9550,7,1,35,0,1,1,1717,1,60.0,1,0.0,5,1,1,0,0,0,6.8679744089702925,6.6293632534374485,0,1,0,1,1,0,7.557472901614746,0,0,1,0,5.37989735354046,0,0,1,0,0,1,0,140000
12461,8,1,114,1,1,1,1624,1,89.0,1,0.0,5,1,0,0,1,0,7.392647520721623,0.0,1,1,0,1,1,1,7.597897950521784,1,1,1,0,7.284134806195205,0,1,1,0,0,1,1,262000
5000,5,0,0,1,0,0,803,0,50.0,0,0.0,6,1,0,0,0,0,6.688354713946762,0.0,0,0,0,0,1,0,7.57095858316901,0,0,1,0,4.762173934797756,0,1,1,0,0,0,0,87000
9125,7,1,25,0,1,0,1482,1,0.0,0,170.0,5,1,0,1,1,0,6.699500340161678,6.508769136971682,0,1,0,0,1,1,7.596894438144544,0,0,1,0,0.0,0,1,1,0,0,1,0,163900
11029,6,1,65,0,1,0,2654,1,0.0,0,220.0,7,1,1,1,1,0,7.321188556739478,7.04141166379481,0,1,0,1,1,0,7.584773077612199,0,0,1,0,6.429719478039138,0,1,1,1,0,1,1,250000
13132,5,0,40,1,1,0,1784,0,96.0,1,0.0,5,1,1,1,0,0,6.79346613258001,6.794586580876499,0,0,0,0,1,0,7.5569505720129,0,0,0,0,0.0,0,1,1,0,0,1,0,138887
10120,8,1,78,1,1,1,2526,1,92.0,1,391.0,5,1,1,1,1,0,7.0925737159746784,7.188412736496954,1,1,0,1,1,1,7.597897950521784,1,1,1,0,6.608000625296087,0,1,1,0,0,1,1,290000
10140,6,1,0,1,1,0,1350,1,78.0,0,174.0,5,1,0,0,1,0,7.2078598714324755,0.0,0,0,0,0,1,0,7.587817219993427,0,0,1,0,0.0,0,1,1,0,0,1,1,165000
8880,7,2,130,0,1,0,2110,1,0.0,0,0.0,5,1,1,1,1,0,7.108244139731541,6.790097235513905,1,1,0,1,1,1,7.597897950521784,1,1,1,0,6.54534966033442,0,1,1,0,0,1,1,205000
9400,6,0,0,0,1,0,980,1,35.0,0,250.0,5,0,0,0,1,0,6.887552571664617,0.0,0,0,0,0,1,0,7.5883236773352225,1,0,0,1,6.852242569051878,0,0,1,0,0,1,0,127500
10020,1,0,0,0,0,0,904,0,0.0,0,0.0,1,1,0,1,0,1,6.806829360392176,0.0,0,0,0,1,0,0,7.561121589530238,0,0,0,0,5.860786223465865,0,1,0,0,0,1,0,61000
7420,5,2,4,1,1,0,1077,1,50.0,0,0.0,6,0,0,0,0,0,6.981934677156389,0.0,0,0,0,1,1,0,7.569927655242652,1,1,1,0,6.747586526829315,0,1,1,0,0,1,0,118000
1680,6,0,0,1,1,0,1218,1,21.0,0,236.0,5,0,1,1,0,0,6.51025834052315,6.304448802421981,0,0,0,0,1,0,7.58629630715272,0,0,0,0,0.0,0,0,1,0,0,0,0,91500
5381,6,1,63,0,1,0,1306,1,34.0,1,135.0,5,0,0,0,1,0,7.174724309836376,0.0,1,1,0,1,0,1,7.60339933974067,0,1,1,0,6.803505257608338,0,1,1,0,0,1,1,196000
7000,5,0,0,1,1,0,1347,1,70.0,0,0.0,7,0,1,0,0,0,6.709304340258298,6.269096283706261,0,0,0,1,1,0,7.554858521040676,1,0,0,0,6.877296071497429,0,1,1,0,0,1,0,107500
13101,5,0,0,0,1,0,1728,1,74.0,0,108.0,5,0,0,0,1,0,7.454719949364001,0.0,0,0,0,0,1,0,7.583247524303362,0,0,1,0,5.44673737166631,0,1,1,0,0,1,0,142600
8767,7,1,0,0,1,0,1310,1,65.0,0,0.0,5,1,0,0,1,0,7.177782416195197,0.0,1,1,0,0,1,1,7.60339933974067,1,1,1,0,3.2188758248682006,0,1,1,0,1,1,1,164990
11207,6,1,75,0,1,0,1511,1,70.0,0,0.0,5,1,1,1,1,0,6.687108607866515,6.565264970035361,0,0,0,1,1,1,7.599401333415815,1,0,1,0,6.5722825426940075,1,1,1,0,0,1,1,185000
7415,6,1,75,0,1,0,1593,1,62.0,0,0.0,5,1,1,1,1,0,6.761572768804055,6.593044534142437,0,0,0,1,1,1,7.602900462204755,1,1,1,0,6.633318433280377,0,1,1,0,0,1,1,193000
13651,7,2,0,0,1,0,2223,1,95.0,0,1115.0,6,1,0,0,1,0,7.706612913964197,0.0,0,0,0,1,1,0,7.587310506022615,0,1,1,0,7.53955882930103,0,1,1,0,0,1,1,244000
6240,6,1,0,1,1,0,1176,1,52.0,0,0.0,6,1,0,0,0,0,6.704414354964107,0.0,0,0,0,0,1,1,7.56734567601324,0,0,1,0,0.0,0,1,1,0,0,0,0,114500
9000,2,0,0,1,0,0,480,0,50.0,0,0.0,3,1,0,0,0,0,6.173786103901937,0.0,0,0,0,1,0,0,7.575071699507561,0,0,1,0,3.9318256327243257,0,0,1,0,0,0,1,35311
8795,7,1,54,0,1,0,2256,1,0.0,0,0.0,5,1,1,1,1,0,6.887552571664617,7.152268856032539,1,1,0,0,1,1,7.600902459542082,1,1,1,0,5.707110264748875,0,1,1,0,0,1,1,236000
13517,6,0,44,0,1,0,1479,1,0.0,0,289.0,8,1,1,1,1,0,6.586171654854675,6.626717749249025,1,1,0,0,1,0,7.588829878307813,1,1,1,1,6.280395838960195,0,1,1,0,0,1,1,130500
9200,6,1,0,1,1,0,1136,1,80.0,0,0.0,6,1,0,0,0,0,7.035268599281097,0.0,0,0,0,1,1,0,7.583247524303362,0,0,1,0,6.794586580876499,0,1,1,0,0,1,1,140000
12589,6,1,24,0,1,0,1484,1,149.0,0,0.0,5,1,1,1,1,0,6.60934924316738,6.610696044717759,1,1,0,0,1,1,7.60339933974067,0,1,1,0,0.0,0,1,1,0,0,1,1,174000
9291,6,0,70,0,1,0,1710,1,76.0,0,120.0,5,1,1,1,1,0,6.723832440821209,6.778784897685177,1,1,0,0,1,1,7.597396320212795,1,1,1,0,6.056784013228625,0,1,1,1,0,1,1,187000
4500,6,0,247,1,1,0,1204,1,32.0,0,320.0,5,0,0,0,1,0,7.093404625868766,0.0,0,0,1,1,1,1,7.599901959208498,1,1,1,0,6.7650389767805414,0,1,1,0,0,0,1,162000
1869,6,0,0,1,1,0,987,1,21.0,0,127.0,6,0,1,1,0,0,6.180016653652572,6.22455842927536,0,0,0,0,1,0,7.585788821732034,0,0,1,0,5.7745515455444085,0,1,1,0,0,0,0,106000
3378,7,2,0,1,1,0,1389,1,60.0,0,0.0,8,1,1,1,0,0,6.561030665896573,6.52649485957079,0,0,0,0,1,0,7.57353126274595,0,0,1,0,0.0,1,1,1,0,0,0,1,135000
13695,6,0,78,1,1,0,1114,1,66.0,0,0.0,5,1,0,0,0,0,7.01571242048723,0.0,0,1,0,1,1,1,7.602401335665818,1,1,1,0,6.703188113240863,0,1,1,0,0,1,1,155000
12936,6,1,116,0,1,0,1395,1,0.0,0,0.0,6,1,1,1,0,0,6.5998704992128365,6.493753839851687,0,0,0,0,1,0,7.586803535162581,0,0,1,1,6.386879319362645,0,1,1,0,0,1,1,162000
7314,7,0,0,1,1,0,1232,1,64.0,0,82.0,5,1,0,0,1,0,7.116394144093465,0.0,1,1,0,1,1,1,7.604396348796338,1,1,1,0,6.586171654854675,0,1,1,0,0,1,1,194500
7050,7,1,235,1,1,0,1929,1,0.0,1,0.0,5,1,1,1,1,0,6.963189985870238,6.771935555839602,1,1,0,1,1,1,7.601402334583733,1,1,1,0,6.6052979209482015,0,1,1,0,0,1,1,226000
7018,5,0,0,1,1,0,1535,1,64.0,0,0.0,5,0,0,0,1,0,7.336285660021297,0.0,0,0,0,0,1,0,7.590346945602565,0,0,1,0,0.0,0,0,1,0,0,1,0,118858
8877,4,0,0,1,1,0,1220,0,67.0,0,0.0,5,1,0,0,0,0,7.106606137727303,0.0,0,0,0,0,1,0,7.576097340623111,0,0,1,0,6.729824070489475,0,1,1,0,0,1,1,102000
6130,5,0,0,1,1,0,784,1,50.0,0,0.0,6,1,0,0,0,0,6.664409020350408,0.0,0,1,0,1,1,0,7.562161631225652,0,0,0,0,6.665683717782408,0,1,1,0,0,0,0,109500
10780,5,0,0,0,1,0,954,1,55.0,0,0.0,5,1,0,0,0,0,6.860663671448287,0.0,0,0,0,0,1,0,7.588829878307813,0,0,1,0,6.182084906716632,0,1,1,0,0,1,0,132500
9100,7,0,36,1,1,0,1525,1,70.0,0,244.0,5,1,0,0,1,0,7.329749689041512,0.0,1,1,0,1,1,1,7.600902459542082,1,1,1,0,7.244941546337007,0,1,1,0,0,1,1,235000
7930,6,0,48,1,1,0,1026,1,61.0,0,0.0,8,1,0,0,0,0,6.933423025730715,0.0,0,1,0,1,1,0,7.585281078639126,1,0,1,0,6.0867747269123065,0,1,1,0,0,1,1,156000
12099,8,1,154,0,1,1,2468,1,99.0,1,388.0,5,1,1,1,1,0,7.035268599281097,7.195187320178709,1,1,1,1,1,1,7.602900462204755,1,1,1,0,6.878326468291325,0,1,1,0,0,1,1,354000
6240,5,1,0,1,1,0,1573,1,52.0,0,0.0,7,1,0,0,1,0,7.028201432058005,6.100318952020064,0,0,0,0,1,1,7.5652752818989315,0,0,1,0,0.0,0,1,1,0,0,0,0,162900
9638,6,1,0,1,1,0,2447,1,50.0,0,0.0,7,1,0,0,1,0,7.4377951216719325,6.618738983517219,0,1,0,0,1,1,7.5595594960077,0,1,1,0,0.0,0,1,0,0,0,1,0,169000
8923,5,0,18,1,1,0,1008,1,66.0,0,0.0,7,1,0,0,0,0,6.915723448631314,0.0,0,1,0,1,1,0,7.577121930876679,0,0,1,0,6.467698726104354,0,1,1,0,0,1,1,134500
11100,4,0,0,1,1,0,930,1,60.0,0,0.0,7,1,0,0,0,0,6.835184586147301,0.0,0,1,0,0,1,0,7.57353126274595,0,1,1,0,0.0,0,0,1,0,0,1,1,84900
3675,6,0,44,1,1,0,1072,1,35.0,0,82.0,5,0,0,0,1,0,6.977281341630747,0.0,0,0,0,1,1,1,7.60339933974067,1,0,1,0,6.306275286948016,0,1,1,0,1,0,0,140000
10768,5,1,21,0,1,0,1437,1,90.0,1,0.0,8,1,0,0,1,0,7.270312886079025,0.0,1,1,0,1,1,0,7.588829878307813,0,0,1,0,7.05444965813294,0,1,1,0,0,1,1,218000
8335,5,1,36,1,1,0,1124,1,77.0,0,0.0,5,1,0,0,0,0,7.024649030453636,0.0,0,0,0,0,1,0,7.577633832602728,0,0,0,0,0.0,0,1,0,0,0,1,1,93000
10011,5,1,0,0,1,0,1236,1,72.0,0,64.0,6,1,0,0,0,0,7.119635638017636,0.0,0,1,0,0,1,0,7.579167967396076,0,0,1,0,5.8888779583328805,0,1,0,0,0,1,1,134450
10152,5,0,20,1,1,0,1048,1,72.0,0,120.0,5,1,0,0,0,0,6.954638864880987,0.0,0,0,0,1,1,0,7.578656850594762,0,0,1,0,6.375024819828097,0,1,1,0,0,1,1,135000
9786,6,1,0,0,1,0,1734,1,77.0,0,0.0,7,1,0,1,0,0,6.98933526597456,6.476972362889683,0,1,0,0,1,0,7.581719640125308,0,0,1,0,6.398594934535208,0,1,1,0,0,1,0,159000
8993,7,0,22,0,1,0,1302,1,73.0,0,0.0,5,1,0,0,1,0,7.171656822768514,0.0,1,1,0,0,1,1,7.604396348796338,0,1,1,0,0.0,0,1,1,0,1,1,1,176485
8520,5,0,0,1,1,0,1385,1,71.0,0,0.0,4,1,0,0,1,0,6.813444599510896,6.16541785423142,0,0,0,0,1,0,7.5766097669730375,0,0,1,0,6.230481447578482,0,1,1,0,0,1,0,166000
10041,8,1,150,0,1,0,1915,1,80.0,0,0.0,5,1,1,1,1,0,6.831953565565855,6.8966943316227125,1,1,0,1,1,1,7.596894438144544,1,1,1,0,6.672032945461067,0,0,1,0,0,1,1,220000
9672,6,0,0,1,1,0,1097,1,81.0,0,0.0,5,1,0,0,1,0,7.00033446027523,0.0,0,0,0,0,1,1,7.592870287844818,1,0,1,0,5.82600010738045,0,1,1,0,0,1,1,152000
14115,7,2,48,1,1,0,1472,1,0.0,0,225.0,5,1,0,0,1,0,7.294377299288821,0.0,0,0,0,1,1,0,7.590852123688581,1,0,1,0,6.9440872082295275,0,1,1,0,0,1,0,187500
7750,7,0,48,1,1,0,1320,1,0.0,0,0.0,5,1,1,1,1,0,6.492239835020471,6.493753839851687,1,1,0,0,1,1,7.602401335665818,0,1,1,0,0.0,0,1,1,0,0,1,1,162000
6180,6,1,128,1,0,0,986,1,60.0,0,0.0,5,1,0,0,0,0,6.893656354602635,0.0,0,0,0,0,1,0,7.563200592358071,0,0,1,0,0.0,0,1,1,0,0,0,0,102000
24090,7,2,0,1,1,0,2403,1,0.0,1,0.0,7,1,1,0,1,0,7.095893221097532,7.087573705557973,0,0,0,0,1,0,7.570443252057374,0,1,1,0,0.0,0,1,1,0,0,1,0,244400
8872,5,0,240,1,1,0,912,1,72.0,0,300.0,8,1,0,0,0,0,6.815639990074331,0.0,0,1,0,1,1,0,7.583247524303362,0,1,1,0,6.39024066706535,0,1,1,0,0,1,1,147000
7711,4,0,0,0,1,0,1440,1,42.0,0,0.0,3,0,0,0,1,0,7.272398392570047,0.0,0,0,0,1,1,1,7.589335823170617,1,0,0,0,7.273092595999522,0,0,1,0,0,1,0,150000
5000,1,0,0,1,0,0,334,0,50.0,0,0.0,3,1,0,0,0,1,5.811140992976701,0.0,0,0,0,0,0,0,7.57353126274595,0,0,0,0,0.0,0,1,1,0,0,1,1,39300
15138,8,1,146,0,1,1,2794,1,174.0,1,506.0,5,1,1,1,1,0,7.306531398939505,7.173958319756794,1,1,0,1,1,1,7.598399329323964,1,1,1,0,6.536691597591305,0,1,1,0,0,1,1,403000
9477,5,0,0,1,1,0,892,1,0.0,0,65.0,5,1,0,0,0,0,6.79346613258001,0.0,0,0,0,0,1,0,7.583756300707112,0,0,1,0,5.831882477283517,0,1,1,0,0,1,1,110000
11065,8,1,74,0,1,1,1970,1,86.0,1,788.0,5,1,1,1,1,0,7.02108396428914,6.7464121285733745,1,1,0,0,1,1,7.603897968521881,0,1,1,0,0.0,0,1,1,0,1,1,1,281000
5400,4,0,0,1,1,0,1374,1,90.0,0,0.0,6,1,0,0,0,0,6.733401891837359,6.282266746896006,0,0,0,0,1,1,7.560080465021827,0,1,1,0,5.755742213586912,0,1,1,0,0,1,0,105000
7094,5,0,0,0,1,0,894,1,99.0,0,0.0,5,1,0,0,0,0,6.795705775173514,0.0,0,0,0,0,1,0,7.583756300707112,0,0,1,0,5.198497031265826,0,1,1,0,0,1,1,125000
10920,6,1,213,0,1,0,1253,1,0.0,0,212.0,5,1,0,1,0,0,7.133295954896068,0.0,0,0,0,1,1,0,7.580699752224563,0,0,1,0,6.598509028614515,0,1,1,0,0,1,1,157000
2572,7,0,44,1,1,0,1416,1,24.0,1,0.0,5,0,1,1,1,0,6.54534966033442,6.580639137284949,1,1,0,1,1,1,7.6004023345004,0,1,1,0,6.405228458030842,0,1,1,0,0,1,0,155000
7200,5,0,0,1,1,0,936,1,60.0,0,180.0,5,0,0,0,0,0,6.841615476477592,0.0,0,0,0,1,1,0,7.590852123688581,1,0,1,0,6.842683282238422,0,1,1,0,0,0,0,140000
7851,6,2,48,1,1,0,1960,1,0.0,0,0.0,5,1,1,1,1,0,6.756932389247553,7.00397413672268,1,1,0,1,1,1,7.601901959875166,1,1,1,0,6.439350371100098,0,1,1,0,0,1,1,216500
7162,5,0,0,0,1,0,904,1,0.0,0,41.0,7,1,0,0,0,0,6.806829360392176,0.0,0,0,0,0,1,1,7.583756300707112,0,0,1,0,0.0,0,0,1,0,0,1,1,109900
8250,6,0,0,1,1,0,1092,1,75.0,0,260.0,7,1,0,0,0,0,6.9957661563048505,0.0,0,0,0,1,1,0,7.582738488914411,0,1,1,0,6.669498089857879,0,1,1,0,0,1,1,145000
12546,6,1,0,0,1,0,1440,1,0.0,0,310.0,7,1,0,0,1,0,7.272398392570047,0.0,1,1,0,0,1,0,7.591357046698551,0,1,1,0,6.520621127558696,0,1,1,0,0,1,1,182900
14601,9,1,68,1,1,1,1838,1,85.0,1,584.0,5,1,0,0,1,0,7.516433302915632,0.0,1,1,1,1,1,1,7.603897968521881,1,1,1,0,7.139660335964919,0,1,1,0,0,1,1,315000
7892,6,0,63,1,1,0,1199,1,55.0,0,0.0,5,0,0,0,1,0,7.089243155027514,0.0,1,1,0,0,1,1,7.597396320212795,1,1,1,0,5.707110264748875,0,1,1,0,0,1,1,153900
17920,5,1,418,1,1,0,1779,1,102.0,0,0.0,4,1,0,1,0,0,7.483806687665835,0.0,0,0,0,1,1,0,7.578145472419466,0,0,1,0,5.726847747587197,0,0,1,0,0,1,1,170000
14100,8,2,12,0,1,1,3447,1,0.0,1,632.0,9,1,0,1,1,1,7.584773077612199,7.299797366758161,0,1,0,0,1,0,7.5678626054638825,0,1,1,0,5.262690188904886,0,1,1,0,0,1,0,381000
1300,6,1,0,1,1,0,1229,1,24.0,0,0.0,6,0,1,1,0,0,6.329720905522696,6.505784060128229,0,0,0,0,1,0,7.590852123688581,0,0,1,0,5.655991810819852,0,1,1,0,0,0,0,124000
7558,6,1,0,1,1,0,1913,1,57.0,1,0.0,6,1,0,1,0,0,7.066466970136958,6.60934924316738,0,0,0,0,1,0,7.564238475170491,0,0,0,0,0.0,0,1,1,0,0,1,0,177000
9600,4,0,0,1,0,1,1774,1,60.0,0,0.0,2,1,1,0,1,0,6.9985096422506015,6.522092798170152,0,0,0,1,1,0,7.549609165154532,0,0,0,0,0.0,0,1,0,0,0,0,0,87000
11767,5,0,0,1,1,0,1200,1,70.0,0,0.0,6,1,0,0,0,0,6.643789733147672,6.07073772800249,0,0,0,0,1,0,7.57353126274595,0,1,1,0,5.8664680569332965,0,1,1,0,0,1,0,130500
1890,6,0,28,1,1,0,1218,1,21.0,0,285.0,5,0,1,1,0,0,6.51025834052315,6.304448802421981,0,0,0,0,1,0,7.587310506022615,0,0,1,0,5.877735781779639,0,1,1,0,0,0,0,113000
9591,8,1,26,1,1,1,1713,1,76.0,1,262.0,5,1,0,0,1,0,7.44600149832412,0.0,1,1,1,1,1,1,7.602900462204755,1,1,1,0,6.9930151229329605,0,1,1,0,0,1,1,274900
6240,4,0,23,1,1,0,1208,0,52.0,0,0.0,5,1,0,0,0,0,6.742880635791903,0.0,0,0,0,0,1,0,7.562681246721884,0,0,1,0,5.030437921392435,0,1,1,0,0,0,0,103000
13568,5,0,0,0,1,0,990,1,43.0,0,0.0,5,1,0,0,0,0,6.897704943128636,0.0,0,0,0,0,1,1,7.598399329323964,0,1,1,1,6.57507584059962,0,1,1,0,0,1,1,156000
25339,5,0,0,1,1,0,1416,1,0.0,0,0.0,7,1,0,0,1,0,7.255591274253665,0.0,0,1,0,0,1,0,7.559038255443384,0,1,1,0,0.0,0,1,1,0,0,1,0,112000
8294,4,0,0,1,1,1,872,1,70.0,0,0.0,5,1,0,0,0,0,6.77078942390898,0.0,0,0,0,0,1,0,7.58629630715272,0,0,1,0,0.0,0,1,1,0,0,1,1,123000
2280,6,1,0,1,1,0,1456,1,24.0,0,0.0,5,0,1,1,1,0,6.75110146893676,6.400257445308821,0,0,0,0,1,0,7.589841512182657,0,0,1,0,5.7430031878094825,0,1,1,0,0,1,0,146000
4928,6,1,205,0,1,0,958,1,0.0,0,0.0,5,0,0,0,1,0,6.86484777797086,0.0,0,0,0,0,1,0,7.588829878307813,0,0,1,0,4.795790545596741,0,1,1,0,0,1,1,128000
9764,5,0,0,0,1,0,894,1,57.0,0,0.0,7,1,0,0,0,0,6.795705775173514,0.0,0,1,0,1,1,0,7.584264818389059,0,1,1,0,6.555356891810665,0,1,1,0,0,1,1,130000
9416,7,1,138,1,1,1,1726,1,79.0,1,205.0,5,1,0,0,1,0,7.453561871643373,0.0,1,1,1,1,1,1,7.604396348796338,1,1,1,0,7.027314514039777,0,1,1,0,1,1,1,311872
8846,5,0,0,0,1,0,914,1,57.0,0,0.0,5,1,0,0,0,0,6.81783057145415,0.0,1,0,0,0,1,1,7.59890045687141,1,1,1,1,5.700443573390686,0,1,1,0,0,1,0,148000
7150,5,0,0,1,1,0,892,1,65.0,0,60.0,5,1,0,0,0,0,6.79346613258001,0.0,0,0,0,0,1,0,7.584264818389059,0,0,1,0,6.07073772800249,0,1,1,0,0,1,1,100000
2001,4,0,0,1,1,0,1092,1,21.0,0,80.0,5,0,1,1,0,0,6.302618975744905,6.304448802421981,0,0,0,0,1,0,7.585788821732034,0,0,1,0,0.0,0,1,1,0,0,0,0,75000
